ts,label,fps,infer,session_name,server_id,client_id,server_csv_rows,server_ts_frames,server_deficit,server_dropped_before,client_csv_rows,client_ts_frames,client_deficit,client_dropped_before,client_rate_cv,client_real_fps,client_dropped_frac,pair_mean_offset_us,pair_p95_offset_us,pair_detrended_p95_us,pair_drift_us_per_s,pair_pct_within_half_frame,framesync_status,framesync_reasons,notes
2026-09-08T11:37:01+00:00,fps30_n2_r0,30,n2,hsweep_fps30_n2_r0-123122,fps30_n2_r0-123122_camera_d074,fps30_n2_r0-123122_ai camera_3606,1925,1925,0,0,1925,1924,1,0,0.0002786207107380843,30.00122885033371,0.0,-14.414329350649352,49.408,37.5612540045831,-0.26708776488578495,100.0,amber,camera vs ai camera: detrended p95 38 탎,
2026-09-08T11:41:58+00:00,fps30_off_r0,30,off,hsweep_fps30_off_r0-123701,fps30_off_r0-123701_camera_d074,fps30_off_r0-123701_ai camera_3606,1937,1937,0,0,1937,1936,1,0,0.00014103765638836158,30.00122885033371,0.0,-12.986217862674241,41.01119999999995,31.286518483893555,0.07629603697939046,100.0,amber,camera vs ai camera: detrended p95 31 탎,
2026-09-08T11:47:05+00:00,fps30_n1_r0,30,n1,hsweep_fps30_n1_r0-124158,fps30_n1_r0-124158_camera_d074,fps30_n1_r0-124158_ai camera_3606,1875,1875,0,0,1872,1871,1,0,0.0003361886829549323,30.000998433227856,0.0,3.307897435897436,47.616,37.75363966063335,-0.8579087030817886,100.0,amber,ai camera vs camera: detrended p95 38 탎,
2026-09-08T11:52:03+00:00,fps30_n8_r0,30,n8,hsweep_fps30_n8_r0-124706,fps30_n8_r0-124706_camera_d074,fps30_n8_r0-124706_ai camera_3606,1941,1941,0,0,1939,1939,0,0,0.0001759261391331482,30.00122885033371,0.0,12.359690562145436,39.68,34.659194734595914,0.03390278726104969,100.0,amber,ai camera vs camera: detrended p95 35 탎,
,fps30_off_r1,30,off,,,,,,,,,,,,,,,,,,,,,,"FAILED: Command '['ssh', '-o', 'BatchMode=yes', '-o', 'ConnectTimeout=8', 'pi@10.0.0.1', 'find ""/home/pi/controller_share/hsweep_fps30_off_r1-125204"" -mindepth 2 -maxdepth 2 -name ""framesync_report.json"" 2>/dev/null | head -1']' timed out after 60.0 seconds"
,fps30_n1_r1,30,n1,,,,,,,,,,,,,,,,,,,,,,"FAILED: HTTPConnectionPool(host='10.0.0.1', port=5000): Max retries exceeded with url: /api/v1/modules/camera_d074/config?wait=20.0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BD84994C20>: Failed to establish a new connection: [WinError 10065] A socket operation was attempted to an unreachable host'))"
,fps30_n8_r1,30,n8,,,,,,,,,,,,,,,,,,,,,,"FAILED: HTTPConnectionPool(host='10.0.0.1', port=5000): Max retries exceeded with url: /api/v1/modules/camera_d074/config?wait=20.0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BD84998E10>: Failed to establish a new connection: [WinError 10065] A socket operation was attempted to an unreachable host'))"
2026-09-08T12:32:01+00:00,fps30_n2_r1,30,n2,hsweep_fps30_n2_r1-132622,fps30_n2_r1-132622_camera_d074,fps30_n2_r1-132622_ai camera_3606,1920,1920,0,0,1919,1919,0,0,0.00030343644939081685,30.00122885033371,0.0,10.171564356435642,47.129599999999975,37.04673886068122,0.4310451898365785,100.0,amber,ai camera vs camera: detrended p95 37 탎,
2026-09-08T12:36:58+00:00,fps30_off_r2,30,off,hsweep_fps30_off_r2-133202,fps30_off_r2-133202_camera_d074,fps30_off_r2-133202_ai camera_3606,1929,1929,0,0,1928,1928,0,0,0.00014182697749385667,30.00122885033371,0.0,19.03668049792531,46.848,34.864901266050666,-0.03418676823320251,100.0,amber,ai camera vs camera: detrended p95 35 탎,
2026-09-08T12:42:06+00:00,fps30_n2_r2,30,n2,hsweep_fps30_n2_r2-133659,fps30_n2_r2-133659_camera_d074,fps30_n2_r2-133659_ai camera_3606,1856,1856,0,0,1859,1859,0,0,0.00025582752497138383,30.00122885033371,0.0,-12.812413793103447,43.264,34.82591408344168,0.17302543167133722,100.0,amber,camera vs ai camera: detrended p95 35 탎,
